extended_right_major,extended_right_major_description,extended_right_name,extended_right_name_description,object_guid
user Object,This class represents a user account in the domain.,Send-As,Exchange right: allows sending mail as the mailbox.,ab721a54-1e2f-11d0-9819-00aa0040529b
user Object,This class represents a user account in the domain.,User-Change-Password,Permits changing password on user account.,ab721a53-1e2f-11d0-9819-00aa0040529b
user Object,This class represents a user account in the domain.,User-Force-Change-Password,Permits reseting password on user account.,00299570-246d-11d0-a768-00aa006e0529
Attributes,Lists attributes and their guids,Account-Expires,The date when the account expires. This value represents the number of 100-nanosecond intervals since January 1; 1601 (UTC). A value of 0 or 0x7FFFFFFFFFFFFFFF (9223372036854775807) indicates that the account never expires.,bf967915-0de6-11d0-a285-00aa003049e2
Attributes,Lists attributes and their guids,Account-Name-History,The length of time that the account has been active.,031952ec-3b72-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Aggregate-Token-Rate-Per-User,The maximum token rate any user may have for all flows.,7f56127d-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Allocable-RSVP-Bandwidth,The maximum bandwidth that can be reserved.,7f561283-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Cache-Timeout,The amount of time before the expiration of ACS objects that are cached by the ACS service.,1cb355a1-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Direction,Send; Receive; Send/Receive; or None.,7f56127a-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-DSBM-DeadTime,This attribute contains the election dead time interval (DSBMDeadInterval) for a domain. If the Designated Subnet Bandwidth Manager does not send out an I_AM_DSBM advertisement during this interval; then the other Subnet Bandwidth Managers (SBMs) in the domain elect a new DSBM.,1cb355a0-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-DSBM-Priority,This attributes contains the priority for this Subnet Bandwidth Manager (SBM). When a new Designated Subnet Bandwidth Manager (DSBM) needs to be elected; this value is sent to other SBMs in the domain as part of a DSBM_willing message. The SBM with the highest priority is elected as the new DSBM.,1cb3559e-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-DSBM-Refresh,This attribute contains the interval timer value that determines when the Designated Subnet Bandwidth Manager (DSBM) sends out a refresh message (I_AM_DSBM) to all of the Subnet Bandwidth Managers in a domain.,1cb3559f-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Enable-ACS-Service,True if ACS service is to be enabled.,7f561287-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Enable-RSVP-Accounting,True if RSVP accounting is enabled.,f072230e-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Enable-RSVP-Message-Logging,True if RSVP logging is enabled.,7f561285-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Event-Log-Level,RSVP logging level.,7f561286-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Identity-Name,This attribute contains the DN of a user or OU and is the identity of a user or a group of users to which this QoS policy applies.,dab029b6-ddf7-11d1-90a5-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Max-Aggregate-Peak-Rate-Per-User,The maximum peak rate any user may have for all flows.,f072230c-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Duration-Per-Flow,The maximum duration; in seconds; of any single flow.,7f56127e-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Maximum-SDU-Size,The ACS-Maximum-SDU-Size attribute is for internal use only. Based on RFC2210.,87a2d8f9-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Max-No-Of-Account-Files,The maximum number of RSVP account files.,f0722310-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-No-Of-Log-Files,The maximum number of RSVP log files.,1cb3559c-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Peak-Bandwidth,The peak bandwidth that can be reserved.,7f561284-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Peak-Bandwidth-Per-Flow,The peak bandwidth any flow can consume.,7f56127c-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Size-Of-RSVP-Account-File,The maximum size; in bytes; of an RSVP account file.,f0722311-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Size-Of-RSVP-Log-File,The maximum size; in bytes; of an RSVP log file.,1cb3559d-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Max-Token-Bucket-Per-Flow,The ACS-Max-Token-Bucket-Per-Flow attribute is for internal use only. Based on RFC2210.,81f6e0df-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Max-Token-Rate-Per-Flow,The maximum token rate any single flow may have for a given user.,7f56127b-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Minimum-Delay-Variation,The ACS-Minimum-Delay-Variation attribute is for internal use only. Based on RFC2210.,9c65329b-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Minimum-Latency,The ACS-Minimum-Latency attribute is for internal use only. Based on RFC2210.,9517fefb-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Minimum-Policed-Size,The ACS-Minimum-Policed-Size attribute is for internal use only. Based on RFC2210.,8d0e7195-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Max-SDU-Size,The ACS-Non-Reserved-Max-SDU-Size attribute is for internal use only. Based on RFC2814.,aec2cfe3-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Min-Policed-Size,The ACS-Non-Reserved-Min-Policed-Size attribute is for internal use only. Based on RFC2814.,b6873917-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Peak-Rate,The ACS-Non-Reserved-Peak-Rate attribute is for internal use only. Based on RFC2814.,a331a73f-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Token-Size,The ACS-Non-Reserved-Token-Size attribute is for internal use only. Based on RFC2814.,a916d7c9-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Tx-Limit,The maximum bandwidth a user application can transmit before a reservation is in place.,1cb355a2-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Non-Reserved-Tx-Size,The token bucket size an application can use before a reservation is in place.,f072230d-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Permission-Bits,Allows multicast flow origination for a given user.,7f561282-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Policy-Name,String name of an ACS policy that applies to this user.,1cb3559a-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Priority,Relative priority of a flow for this user.,7f561281-5301-11d1-a9c5-0000f80367c1
Attributes,Lists attributes and their guids,ACS-RSVP-Account-Files-Location,"The directory location of RSVP account files. Defaults to the ""system32"" subdirectory located in the default system directory.",f072230f-aef5-11d1-bdcf-0000f80367c1
Attributes,Lists attributes and their guids,ACS-RSVP-Log-Files-Location,The file system path for storage of RSVP log files.,1cb3559b-56d0-11d1-a9c6-0000f80367c1
Attributes,Lists attributes and their guids,ACS-Server-List,Contains the DNS names of WindowsÂ NT servers that are allowed to run ACS.,7cbd59a5-3b90-11d2-90cc-00c04fd91ab1
Attributes,Lists attributes and their guids,ACS-Service-Type,The ACS service type. Controlled load or guaranteed bandwidth.,7f56127f-5301-11d1-a9c5-0000f80367c1
